,canopy_moisture,stop,run_max_mem_rss_bytes,start,sim_time,surface_moisture,threads,wind_direction,wind_speed,run_uuid,area,runtime
52,0.9,2024-05-16T10:00:14.310489-07:00,2865876.0,2024-05-16 09:13:13.976689-07:00,4591.0,0.25,1.0,285.0,2.235,e4231bd1-e4dd-4ed1-b6e9-2fef037635fd,986740.0,2821.0
53,0.9,2024-05-02T23:15:44.067089-07:00,4403600.0,2024-05-02 19:49:46.179974-07:00,8998.0,0.1,1.0,105.0,2.235,e48a2c97-e9b6-44c3-8723-1a73c5c674fd,828144.0,12358.0
54,0.9,2024-05-16T21:00:45.625745-07:00,4405324.0,2024-05-16 18:57:43.130797-07:00,8998.0,0.1,1.0,105.0,2.235,e94342d4-6905-4f11-b222-afbbb6a53f0f,828144.0,7382.0
55,0.7,2024-05-13T16:53:40.020240-07:00,3190096.0,2024-05-13 15:49:04.824126-07:00,5579.0,0.05,1.0,180.0,6.705,eac021f7-44cc-4605-9d87-baa7f4f9434d,823768.0,3876.0
56,0.9,2024-05-16T09:37:35.543307-07:00,2865808.0,2024-05-16 09:03:20.677795-07:00,4591.0,0.2,1.0,285.0,2.235,ec40cb86-ec7f-45de-a714-547646841721,986740.0,2055.0
57,0.9,2024-05-16T09:11:55.759967-07:00,4403688.0,2024-05-16 07:47:37.106565-07:00,8998.0,0.1,1.0,75.0,2.235,ec5c5623-1d2e-4b26-b656-190228a8377d,828144.0,5058.0
58,0.9,2024-05-16T09:37:56.032862-07:00,2865980.0,2024-05-16 08:50:31.936503-07:00,4591.0,0.2,1.0,255.0,2.235,ed943f85-39f1-46d7-b400-48ac4c7d3397,986740.0,2845.0
59,0.8,2024-05-13T17:26:16.898068-07:00,3190168.0,2024-05-13 15:48:38.708695-07:00,5579.0,0.1,1.0,180.0,6.705,ee0f2727-6314-4ace-adc6-3b4e55bede0d,823768.0,5858.0
60,0.9,2024-05-16T09:23:21.032457-07:00,2866052.0,2024-05-16 08:48:07.297278-07:00,4591.0,0.15,1.0,270.0,4.47,ee675e50-7c2e-4321-9a37-d9b7d08ca134,986740.0,2114.0
61,0.9,2024-05-16T09:20:34.249541-07:00,2865860.0,2024-05-16 08:47:13.070192-07:00,4591.0,0.25,1.0,270.0,2.235,ef003e32-7fdb-4caf-b5ee-37fe836dcca9,986740.0,2001.0
62,0.8,2024-05-13T17:14:23.386760-07:00,3189928.0,2024-05-13 15:28:41.874921-07:00,5579.0,0.05,1.0,210.0,8.941,f2a7a984-f4ef-4bcd-afdd-98a3ac3fc2af,823768.0,6342.0
63,0.9,2024-05-16T11:11:14.382603-07:00,4413552.0,2024-05-16 09:41:31.158661-07:00,8998.0,0.1,1.0,105.0,2.235,f2f00366-112e-44fb-a022-3a90baa7d95a,828144.0,5383.0
64,1.0,2024-05-16T09:48:00.999422-07:00,2866004.0,2024-05-16 09:12:28.915321-07:00,4591.0,0.2,1.0,255.0,6.705,f4e67433-afa4-466c-811e-a3544139fbe2,986740.0,2132.0
65,0.9,2024-05-17T09:06:59.236337-07:00,4403840.0,2024-05-17 07:46:21.906191-07:00,8998.0,0.1,1.0,105.0,2.235,f4f6a04c-29e6-4091-99a7-b199ad7b4bac,828144.0,4838.0
66,0.9,2024-05-15T16:31:34.426926-07:00,4403772.0,2024-05-15 13:42:50.352897-07:00,8998.0,0.1,1.0,105.0,2.235,f53a2755-f68e-48d0-91e5-8d138898e36c,828144.0,10124.0
67,1.0,2024-05-16T09:31:19.951407-07:00,2865880.0,2024-05-16 08:57:24.774281-07:00,4591.0,0.25,1.0,255.0,4.47,f5f4c75b-6cdc-4d94-bbbc-d0ba12a31754,986740.0,2035.0
68,0.9,2024-05-16T09:27:14.521819-07:00,2867744.0,2024-05-16 08:49:01.029796-07:00,4591.0,0.1,1.0,270.0,6.705,f6a190da-2b56-4632-bb4b-9135403f6388,986740.0,2293.0
69,0.9,2024-05-15T22:32:26.970564-07:00,4405232.0,2024-05-15 21:04:38.020187-07:00,8998.0,0.1,1.0,105.0,2.235,f8f470c4-f2d5-4c5a-9053-55dea8079ce6,828144.0,5268.0
70,0.9,2024-05-16T09:27:04.677991-07:00,2865976.0,2024-05-16 08:52:14.815128-07:00,4591.0,0.2,1.0,270.0,6.705,f9114dd1-56cc-4b60-8e83-6679a1a07870,986740.0,2090.0
71,0.7,2024-05-13T17:44:26.591661-07:00,3189936.0,2024-05-13 15:49:40.601186-07:00,5579.0,0.1,1.0,195.0,6.705,facf0b8f-e3ba-457e-893d-8099fce15b86,823768.0,6886.0
72,0.8,2024-05-13T16:32:15.730662-07:00,3190048.0,2024-05-13 15:26:46.612005-07:00,5579.0,0.05,1.0,195.0,6.705,fbc51988-e1ee-4570-bd29-b9088b4bcdf0,823768.0,3929.0
73,0.9,2024-05-03T12:33:55.854226-07:00,4403576.0,2024-05-03 10:30:01.853449-07:00,8998.0,0.1,1.0,90.0,2.235,fe0001d2-e761-4808-9223-6d6889e6ad18,828144.0,7434.0
