,canopy_moisture,run_max_mem_rss_bytes,sim_time,surface_moisture,threads,wind_direction,wind_speed,run_uuid,area,runtime,cpu_request,mem_request,cpu_usage_total,mem_usage_total,transmitted_packets_total,received_packets_total,transmitted_bandwidth_total,received_bandwidth_total
78,0.3,2522124,16486,0.1,1,90.0,5.0,af80ff18-fef8-4321-ad26-3be2c24b0b52,1053216.0,11643.0,-1.0,-1.0,20351.27184972295,6095785983.0,24736.292026509116,28308.160911685583,130820435.05947816,12207305.212245217
79,0.3,2565988,16486,0.1,1,90.0,5.0,e707dbf0-8758-442e-87dd-6ad0518a2e40,1053216.0,11724.0,-1.0,-1.0,23494.161315980557,6036451327.0,23542.65136935388,34261.34572201538,130337662.87568882,324818666.57408774
80,0.3,2563524,16486,0.1,1,90.0,3.0,87bc76b8-33c8-4b87-a650-aa3ed7b728d6,1053216.0,12299.0,-1.0,-1.0,24068.11271596714,6036451327.0,23936.231118688484,34657.14262335905,132795062.20321754,324971906.989979
81,0.3,9264760,23361,0.1,1,90.0,5.0,54556272-9950-4271-8a3b-81b0a03c22fa,2543220.0,36575.0,-1.0,-1.0,73153.41135953504,20983312383.0,121616.73902189381,433968.16084882314,877589916.6407838,2116962685.8321252
82,0.3,9262808,23361,0.1,1,90.0,3.0,b15b6152-c862-41fa-85a8-42a2814e8112,2543220.0,39918.0,-1.0,-1.0,76528.491703373,20983312383.0,124029.40201693735,437186.42391100805,912480976.5193563,2117078944.8688428
83,0.3,2516180,16486,0.1,1,90.0,5.0,6da55d31-d961-4929-8fae-5897be8e2e14,1053216.0,6689.0,0.0,0.0,20085.19501241522,9063010303.0,95966.46499174174,131203.71958363362,121374556.0332503,318022655.1254364
84,0.3,2515904,16486,0.1,1,90.0,3.0,33fcedda-811e-43d5-90ad-f1aa4b34a04c,1053216.0,8971.0,0.0,0.0,24667.46053529461,9063010303.0,98251.78765959249,133466.50770934758,138467303.7718176,318546862.07860696
85,0.3,9270484,23361,0.1,1,90.0,5.0,124e9b6a-f243-4bca-9790-8a3c7cf8b998,2543220.0,50703.0,-1.0,-1.0,101513.24451139715,21078675455.0,67228.75642391948,177087.25772646538,858084876.346168,613584816.1643827
86,0.3,9270832,23361,0.1,1,90.0,3.0,b912ce0c-ef6e-4988-9490-a9ac4059d9cb,2543220.0,55874.0,-1.0,-1.0,106684.17473215231,21078675455.0,69189.48624868141,178810.87487193377,893466251.7873816,614028784.0548295
87,0.3,9270348,23361,0.1,1,90.0,5.0,b42e706d-2bef-4873-a3bd-6b421e3c4d7c,2543220.0,52355.0,-1.0,-1.0,104818.38816393794,21038407679.0,96041.52505076541,378334.1664293896,889221572.5478983,1518743645.9169056
88,0.3,9269740,23361,0.1,1,90.0,3.0,83e88fc1-134a-4f15-be2b-98188e3c50c1,2543220.0,55338.0,-1.0,-1.0,107820.83505155076,21037539327.0,47388.274822624226,41816.59752678727,881473584.3800889,8766140.73797968
89,0.3,9268312,23361,0.1,1,90.0,3.0,7f5c49e2-8d73-4fff-80b5-ae0c8a47ed00,2543220.0,49864.0,-1.0,-1.0,92609.31783675723,20996173823.0,97869.11938474004,245022.47463099385,894165401.7707133,1743730393.8041544
