,Unnamed: 0,canopy_moisture,run_max_mem_rss_bytes,sim_time,surface_moisture,threads,wind_direction,wind_speed,run_uuid,area,runtime,cpu_request,mem_request,cpu_usage_total,mem_usage_total,transmitted_packets_total,received_packets_total,transmitted_bandwidth_total,received_bandwidth_total
53,53,0.9,4372980,8998,0.1,1,75.0,2.235,7e7e9188-3eda-447e-811f-48242bf1222c,828144.0,4977.0,-1.0,-1.0,14846.373781076545,13973938175.0,34864.983135620416,89502.96838882001,3429027.2189489803,634991884.7374926
54,54,0.9,4375884,8998,0.1,1,90.0,2.235,3afd9b28-4204-4178-a68f-83ad72888d1f,828144.0,7143.0,-1.0,-1.0,18975.236283606413,13982416895.0,48771.7656512383,135456.97232361825,5464433.438188534,1420321459.8016036
55,55,0.9,4373252,8998,0.1,1,75.0,2.235,4f707f87-ce30-451b-8a8d-eb8299041b1b,828144.0,5405.0,2.0,25769803775.0,20900.581393595356,18592026623.0,95955.91476387336,127612.9313556797,7337287.794010429,627075090.0655606
56,56,0.9,4373232,8998,0.1,1,105.0,2.235,9e283211-3c00-43ae-b512-9216dbf34202,828144.0,5768.0,2.0,25769803775.0,21571.913146301966,18592174079.0,114828.60115619547,188460.49099767304,8913808.20134526,954951889.0173583
57,57,0.9,4373056,8998,0.1,1,90.0,2.235,b3223dd2-a196-4fe1-af9e-9ba609496a80,828144.0,9452.0,2.0,25769803775.0,25274.247264434962,18592026623.0,94963.25409081251,125670.72232555799,28133487.226331122,612582554.8969522
58,58,0.9,4373064,8998,0.1,1,75.0,2.235,2131dc61-80f3-4cc3-82ca-6b794578768f,828144.0,6274.0,-1.0,-1.0,23116.59904753227,18637758463.0,26299.644970573605,69910.04924602121,2850270.959140877,972323230.0541747
59,59,0.9,4372948,8998,0.1,1,90.0,2.235,4be2b311-77c7-40de-8482-ba2af8771503,828144.0,5285.0,-1.0,-1.0,21053.619943302285,18636591103.0,25574.061698851638,70433.81810478943,2748760.263855793,988892501.224297
60,60,0.9,4373128,8998,0.1,1,105.0,2.235,8901ea9c-88df-4008-9620-69a1556f9bca,828144.0,6973.0,-1.0,-1.0,23748.877597287308,18637778943.0,9916.529871259896,8203.189797375338,1247150.4088461273,3020315.4838174507
61,61,0.9,4373176,8998,0.1,1,90.0,2.235,6de949df-32e5-40c1-91c0-285e82815e21,828144.0,6894.0,-1.0,-1.0,20714.26568941854,13963902975.0,27269.75194216655,55420.72949971654,2705059.290617697,319132962.6448177
62,62,0.9,4373048,8998,0.1,1,105.0,2.235,1f818195-fabd-4757-87a0-ccfa29ec874f,828144.0,7162.0,-1.0,-1.0,21262.73265916971,13964357631.0,27555.301478942874,55669.08502263249,2740402.4423095584,319409113.5335446
63,63,0.9,4373136,8998,0.1,1,75.0,2.235,80cfba6a-7538-4201-bf94-42cc72dd3639,828144.0,7156.0,-1.0,-1.0,21257.549178437555,13964357631.0,27549.48713295131,55664.50190026963,2739681.308976225,319407421.4457808
64,64,0.9,4373192,8998,0.1,1,90.0,2.235,6419f1b9-da16-4577-bb8f-03a1953b1d6f,828144.0,5359.0,-1.0,-1.0,21291.327681784678,18605805567.0,63987.36469588015,153568.81763183523,5432273.733636516,640000918.4697895
65,65,0.9,4373232,8998,0.1,1,75.0,2.235,977362e5-fc6d-4499-bafd-c93654fb9c66,828144.0,7783.0,-1.0,-1.0,23990.01410319317,18607828991.0,52402.63171284167,94483.2974008608,4188429.7855108636,332321371.4745359
66,66,0.9,4373104,8998,0.1,1,105.0,2.235,4bfe8e77-66da-4534-9277-31763007b534,828144.0,5488.0,-1.0,-1.0,21685.22294177801,18605805567.0,64074.36040444282,153469.04865324555,5445094.030173458,638903255.4842312
67,67,0.9,4373200,8998,0.1,1,90.0,2.235,9bb6a285-f83f-458b-8123-665d6e1b2fcf,828144.0,5447.0,-1.0,-1.0,32718.48331083039,27836448767.0,9338.147329650092,8633.949539594843,1216440.4944751384,3136477.9005524865
68,68,0.9,4373128,8998,0.1,1,105.0,2.235,98e55083-822d-4942-81fb-e4782769a516,828144.0,5483.0,-1.0,-1.0,32906.851590302525,27836448767.0,9394.174765681097,8684.893069937061,1223823.4621049277,3155355.716240787
69,69,0.9,4373104,8998,0.1,1,75.0,2.235,821743e3-f727-428c-ba92-9b99de6d23b5,828144.0,5516.0,-1.0,-1.0,32991.95329345305,27836448767.0,9428.218536829925,8716.967523947802,1228219.2687103306,3166756.4071294093
70,70,0.9,4373152,8998,0.1,1,75.0,2.235,b0a3bcc3-331f-40ad-844b-f63258dd5858,828144.0,8865.0,-1.0,-1.0,24688.986088781647,13984587775.0,12814.495844145624,30342.23998468894,1728405.506506175,317546375.3292319
71,71,0.9,4373076,8998,0.1,1,105.0,2.235,97e96c72-caa5-47f3-9b3a-31ddf05fc42a,828144.0,9147.0,2.0,25769803775.0,24470.402496361065,13985153023.0,12732.486398878878,10690.77263205215,80406296.89733829,3771139.430601298
72,72,0.9,4373024,8998,0.1,1,90.0,2.235,c6d2c556-06aa-4e20-b6ca-362afbb32cac,828144.0,7515.0,2.0,25769803775.0,22040.038432546513,13983768575.0,11729.471738042608,29440.703385301946,1553686.1243653153,316738871.89872044
73,73,0.9,4373156,8998,0.1,1,75.0,2.235,8af9937f-0150-4a3b-a2be-312458b95d0e,828144.0,5416.0,-1.0,-1.0,20389.363046788785,18580627455.0,28936.68971033769,80819.06123681917,3105911.2236324577,634806373.9940271
74,74,0.9,4373024,8998,0.1,1,105.0,2.235,583fd8ac-4d8d-49b2-b862-972ef5162835,828144.0,4098.0,-1.0,-1.0,16417.287254520677,18579476479.0,27336.917783823534,79418.46324509804,2902802.227556863,634241383.6389561
75,75,0.9,4373028,8998,0.1,1,90.0,2.235,9f951e31-c920-4533-9f6d-5e79bb03836d,828144.0,5645.0,-1.0,-1.0,20604.609046577054,18580627455.0,29116.096317869877,81077.07566458704,3128500.394327726,635294461.8839028
76,76,0.9,4372968,8998,0.1,1,105.0,2.235,5448ef06-4adf-45dc-ac6b-6642b0913046,828144.0,4093.0,-1.0,-1.0,16322.320267223166,18600681471.0,19670.750983206242,52330.73961666666,2099837.301906046,326343705.0565965
77,77,0.9,4373184,8998,0.1,1,75.0,2.235,f1e5194f-04bc-42f2-a73b-29d93c9ecc02,828144.0,5474.0,-1.0,-1.0,20528.425785829506,18599006207.0,9289.565781102243,8222.008573006984,1193912.3331705332,11144751.275192933
78,78,0.9,4372948,8998,0.1,1,90.0,2.235,e7457627-e3ab-42bf-8110-7de8f2145125,828144.0,6460.0,-1.0,-1.0,21570.777135321077,18602917887.0,21744.885918467524,54170.212292544355,2362764.738928615,327758524.884276
79,79,0.9,4373084,8998,0.1,1,90.0,2.235,ea8832a9-cee7-48f8-845a-b37981d20e3b,828144.0,3962.0,-1.0,-1.0,19793.952544953005,23248060416.0,7626.931426893718,6384.326009003719,971246.2852730476,2386360.7116617737
80,80,0.9,4372952,8998,0.1,1,75.0,2.235,3e7e567d-74ec-48aa-8ca5-7e4b5af363a4,828144.0,6342.0,-1.0,-1.0,25055.44918255615,23251656704.0,18867.503154198188,33144.62198490343,2146323.3713095193,317660657.62437767
81,81,0.9,4373240,8998,0.1,1,105.0,2.235,4e0bf64c-ed91-437d-b7cb-6788bae17236,828144.0,5380.0,-1.0,-1.0,24067.16923634339,23250632704.0,18363.22208526652,32744.859418381035,2083399.0435053918,317466216.67232347
82,82,0.3,9272080,23361,0.1,1,90.0,3.0,4679980a-72e2-4f7e-9148-8669e3369437,2543220.0,67149.0,-1.0,-1.0,127262.12361783965,19434803199.0,28575.031831336342,46491.750295897626,58616970.988751136,773571711.4666312
83,83,0.3,9272600,23361,0.1,1,90.0,5.0,00256272-28ca-49d7-862a-9a37cc18914d,2543220.0,60033.0,-1.0,-1.0,120116.13577531037,19432890367.0,20600.324500000002,24993.739550000002,2424518.75285,176424584.18275002
