,start,end,runtime,model,num_questions,question_method,pdf_pages,pdf_load_time,Average GPU Utilization,Max GPU Utilization,Min GPU Utilization,Standard Deviation GPU Utilization,Average Memory Copy Utilization,Max Memory Copy Utilization,Min Memory Copy Utilization,Standard Deviation Memory Copy Utilization,Average Power,Max Power,Min Power,Standard Deviation Power,Average Temperature,Max Temperature,Min Temperature,Standard Deviation Temperature,Average Fan Speed,Max Fan Speed,Min Fan Speed,Standard Deviation Fan Speed
200,2024-07-30 00:57:00,2024-07-30 00:58:00,40,meta-llama/Meta-Llama-3-70B,13,shifted,48,14,23.394781144781145,100.0,0.0,38.83024042842965,8.154882154882156,100.0,0.0,19.568717657771767,76.16257342657343,455.824,0.424,87.94009571325377,40.3655427631579,88.0,10.0,16.270998298721633,9251.480990415335,26250.0,0.0,5076.230384346293
201,2024-07-30 00:58:00,2024-07-30 00:59:00,39,meta-llama/Meta-Llama-3-70B,13,shifted,126,43,21.845959595959595,100.0,0.0,37.724613032876206,8.092592592592593,100.0,0.0,19.483469216666148,76.007583367641,467.042,0.432,87.43778477776067,40.39341563786008,89.0,10.0,16.287124924554067,9257.017438173747,27000.0,0.0,5051.9968567898995
202,2024-07-30 00:59:00,2024-07-30 00:59:00,47,meta-llama/Meta-Llama-3.1-8B,13,shifted,48,14,22.949494949494948,100.0,0.0,38.31795074590501,8.361720067453625,100.0,0.0,19.89028603509408,75.3977899505766,467.042,0.475,86.19493041064437,40.424217462932454,89.0,10.0,16.3017336310862,9253.163084702908,27000.0,0.0,5045.662284319143
203,2024-07-30 00:59:00,2024-07-30 01:01:00,66,meta-llama/Meta-Llama-3.1-8B,13,shifted,126,43,22.944444444444443,100.0,0.0,38.34026420943292,8.423757371524852,100.0,0.0,19.84063880530008,75.92522161272628,489.867,0.44,88.0939118254195,40.37246297312123,89.0,10.0,16.28841724750044,9258.96855010661,27000.0,0.0,5062.8459699102
204,2024-07-30 01:01:00,2024-07-30 01:02:00,55,meta-llama/Meta-Llama-3.1-70B,13,shifted,48,14,23.29882154882155,100.0,0.0,38.51938448260074,8.585016835016836,100.0,0.0,20.065291599904302,76.63347368421053,493.385,0.429,89.57223284293103,40.27878289473684,88.0,10.0,16.251177664472742,9253.719090326713,26400.0,0.0,5069.225059516891
205,2024-07-30 01:02:00,2024-07-30 01:02:00,55,meta-llama/Meta-Llama-3.1-70B,13,shifted,126,43,23.189393939393938,100.0,0.0,38.51266366159842,8.57996632996633,100.0,0.0,19.982245767504075,76.07816940789473,493.385,0.429,88.23040616813174,40.25740131578947,87.0,10.0,16.270158332706025,9251.435535599743,26100.0,0.0,5078.372896990998
206,2024-07-30 01:02:00,2024-07-30 01:03:00,48,meta-llama/Meta-Llama-3.1-405B,13,shifted,48,14,22.74579124579125,100.0,0.0,38.32026206039847,8.441077441077441,100.0,0.0,19.796370184181374,75.62530139802632,493.385,0.429,87.4186532165429,40.24958881578947,89.0,10.0,16.252146010102674,9249.018577834722,26400.0,0.0,5074.041196684229
207,2024-07-30 01:03:00,2024-07-30 01:04:00,75,meta-llama/Meta-Llama-3.1-405B,13,shifted,126,43,22.067340067340066,100.0,0.0,37.90206341051118,8.082491582491583,100.0,0.0,19.408883822131084,74.70689181406829,454.189,0.372,86.02678849307058,40.20518092105263,89.0,10.0,16.22216458762576,9193.313475629182,26400.0,0.0,5108.941762188881
208,2024-07-30 01:04:00,2024-07-30 01:06:00,81,eci-io/climategpt-7b,14,shifted,48,14,22.50357894736842,100.0,0.0,38.16573466168016,8.0496632996633,100.0,0.0,19.46477671380189,75.53089303346133,512.045,0.372,88.25250504337428,40.201809706608174,88.0,10.0,16.14684625580981,9156.860548523207,27000.0,0.0,5146.054178467915
209,2024-07-30 01:06:00,2024-07-30 01:07:00,84,eci-io/climategpt-7b,14,shifted,126,43,22.232744107744107,100.0,0.0,37.95850528091746,8.424178601516427,100.0,0.0,19.896739882801757,76.60554609053499,476.753,0.39,89.89206472070533,40.21399176954733,88.0,11.0,16.10068572474007,9218.603955696202,26400.0,0.0,5104.339194364473
210,2024-07-30 01:07:00,2024-07-30 01:09:00,90,ECarbenia/grimoiresigils,14,shifted,48,14,22.19360269360269,100.0,0.0,37.96713782795212,8.06821052631579,100.0,0.0,19.43549317793073,76.13742007129146,466.256,0.429,89.88707752799309,40.12859884836852,89.0,12.0,16.027495292756427,9254.26511627907,26400.0,0.0,5066.8579275905895
211,2024-07-30 01:09:00,2024-07-30 01:10:00,75,ECarbenia/grimoiresigils,14,shifted,126,43,22.170454545454547,100.0,0.0,37.94790870548227,7.987794612794612,100.0,0.0,19.445152512360405,76.28366351295763,471.066,0.416,90.54919352945147,40.03700657894737,88.0,12.0,16.054215394228013,9215.34489860583,26250.0,0.0,5069.880369797273
212,2024-07-30 01:10:00,2024-07-30 01:12:00,98,text-embedding-ada-002,14,shifted,48,14,22.13215488215488,100.0,0.0,38.09062049689842,7.717052631578947,100.0,0.0,19.140414281688127,74.50800713110259,485.955,0.403,87.961386293216,39.991499862901016,89.0,12.0,16.023970118160786,9235.74187763713,26550.0,0.0,5079.802853188062
213,2024-07-30 01:12:00,2024-07-30 01:13:00,68,text-embedding-ada-002,14,shifted,126,43,22.44570707070707,100.0,0.0,38.15905215755494,7.96043771043771,100.0,0.0,19.433712229224987,74.17352384868421,465.472,0.436,87.19847114033651,40.046875,89.0,12.0,16.023977512042954,9260.002688172042,26400.0,0.0,5080.313609934854
