,path,start,stop,sim_time,timestep,wind_direction,wind_speed,canopy_moisture,surface_moisture,run_max_mem_rss_bytes,threads,area,runtime,cpu_total,mem_total,ensemble_uuid,run_uuid
28,burnpro3d/d/c0/4f/run_c04fcc94-76c9-479e-99c6-5057b51c3f30,2023-06-23T14:18:37.470543-07:00,2023-06-23T18:32:27.750014-07:00,13493,600,120.0,4.47,0.9,0.15,2426072,1,1981888.0,15230.0,0.0,0.0,ea5b0a15-a0a4-43d0-9acc-916530618322,c04fcc94-76c9-479e-99c6-5057b51c3f30
29,burnpro3d/d/c5/e6/run_c5e6fb65-449a-4ec3-85a3-3c85b1987e56,2023-06-23T14:18:41.080126-07:00,2023-06-23T19:18:56.914503-07:00,13493,600,120.0,6.705,0.9,0.1,2427832,1,1981888.0,18015.0,0.0,0.0,ea5b0a15-a0a4-43d0-9acc-916530618322,c5e6fb65-449a-4ec3-85a3-3c85b1987e56
30,burnpro3d/d/c1/bc/run_c1bc6f98-c239-4d80-bfc4-b08124a214c9,2023-06-23T14:36:48.828280-07:00,2023-06-23T15:16:43.466511-07:00,5223,600,120.0,2.235,0.9,0.2,455752,1,294840.0,2395.0,0.0,0.0,62bcbf27-b0a5-4201-ba7a-c79e471bf0f8,c1bc6f98-c239-4d80-bfc4-b08124a214c9
31,burnpro3d/d/5b/fa/run_5bfa5245-a478-43b3-b2c0-680b2e570578,2023-06-23T14:22:12.947804-07:00,2023-06-23T14:30:10.765814-07:00,5223,600,90.0,2.235,0.9,0.15,452072,1,294840.0,478.0,0.0,0.0,62bcbf27-b0a5-4201-ba7a-c79e471bf0f8,5bfa5245-a478-43b3-b2c0-680b2e570578
32,burnpro3d/d/1f/d7/run_1fd7f80f-1205-4b58-93d3-7fa1083a7ff1,2023-06-23T14:22:25.922546-07:00,2023-06-23T14:34:43.369394-07:00,5223,600,90.0,2.235,0.9,0.2,452252,1,294840.0,738.0,0.0,0.0,62bcbf27-b0a5-4201-ba7a-c79e471bf0f8,1fd7f80f-1205-4b58-93d3-7fa1083a7ff1
33,burnpro3d/d/07/48/run_074870cb-6898-4c53-9b5a-0cfaafa3e7cf,2023-06-23T14:25:17.721809-07:00,2023-06-23T14:37:18.407403-07:00,5223,600,90.0,4.47,0.9,0.2,451920,1,294840.0,721.0,0.0,0.0,62bcbf27-b0a5-4201-ba7a-c79e471bf0f8,074870cb-6898-4c53-9b5a-0cfaafa3e7cf
34,burnpro3d/d/d1/91/run_d191f528-8b51-4152-80a4-71a1763341b8,2023-06-23T14:23:23.867825-07:00,2023-06-23T14:35:04.828825-07:00,5223,600,90.0,4.47,0.9,0.1,451892,1,294840.0,701.0,0.0,0.0,62bcbf27-b0a5-4201-ba7a-c79e471bf0f8,d191f528-8b51-4152-80a4-71a1763341b8
35,burnpro3d/d/1b/1f/run_1b1fd682-b2da-4e4b-895d-40f289f73590,2023-06-23T14:33:39.286745-07:00,2023-06-23T14:44:19.116892-07:00,5223,600,60.0,6.705,0.9,0.1,451984,1,294840.0,640.0,0.0,0.0,62bcbf27-b0a5-4201-ba7a-c79e471bf0f8,1b1fd682-b2da-4e4b-895d-40f289f73590
36,burnpro3d/d/51/f4/run_51f41f05-a911-48fd-8114-fc43932d3869,2023-06-23T14:27:18.076972-07:00,2023-06-23T14:35:47.522193-07:00,5223,600,90.0,6.705,0.9,0.15,452136,1,294840.0,509.0,0.0,0.0,62bcbf27-b0a5-4201-ba7a-c79e471bf0f8,51f41f05-a911-48fd-8114-fc43932d3869
37,burnpro3d/d/3e/d5/run_3ed5ffbf-add6-4c27-88ec-30b4249980b4,2023-06-23T14:27:26.527262-07:00,2023-06-23T14:37:19.394927-07:00,5223,600,90.0,6.705,0.9,0.2,452004,1,294840.0,593.0,0.0,0.0,62bcbf27-b0a5-4201-ba7a-c79e471bf0f8,3ed5ffbf-add6-4c27-88ec-30b4249980b4
38,burnpro3d/d/03/83/run_03832093-083a-4e32-bd50-d33e8dfdf6e6,2023-06-23T14:23:46.833300-07:00,2023-06-23T14:36:17.260056-07:00,5223,600,90.0,4.47,0.9,0.15,452140,1,294840.0,751.0,0.0,0.0,62bcbf27-b0a5-4201-ba7a-c79e471bf0f8,03832093-083a-4e32-bd50-d33e8dfdf6e6
39,burnpro3d/d/f3/5c/run_f35c4f2d-dc82-4a8c-ab43-fb13584e030e,2023-06-23T14:25:20.553369-07:00,2023-06-23T14:37:29.593858-07:00,5223,600,90.0,6.705,0.9,0.1,451832,1,294840.0,729.0,0.0,0.0,62bcbf27-b0a5-4201-ba7a-c79e471bf0f8,f35c4f2d-dc82-4a8c-ab43-fb13584e030e
40,burnpro3d/d/1c/c4/run_1cc4416f-386b-44f7-b508-b04b47e0d355,2023-06-23T14:33:31.879188-07:00,2023-06-23T14:42:58.376719-07:00,5223,600,60.0,4.47,0.9,0.2,452068,1,294840.0,567.0,0.0,0.0,62bcbf27-b0a5-4201-ba7a-c79e471bf0f8,1cc4416f-386b-44f7-b508-b04b47e0d355
41,burnpro3d/d/bb/59/run_bb59ebed-dcc5-44cb-ab1a-27dfcf99412e,2023-06-23T14:30:22.086866-07:00,2023-06-23T14:38:30.161165-07:00,5223,600,60.0,2.235,0.9,0.2,452200,1,294840.0,488.0,0.0,0.0,62bcbf27-b0a5-4201-ba7a-c79e471bf0f8,bb59ebed-dcc5-44cb-ab1a-27dfcf99412e
42,burnpro3d/d/2f/e8/run_2fe838bc-8222-4a17-8801-7c6ea0e1f187,2023-06-23T14:29:41.904313-07:00,2023-06-23T14:39:58.763540-07:00,5223,600,60.0,2.235,0.9,0.15,451892,1,294840.0,617.0,0.0,0.0,62bcbf27-b0a5-4201-ba7a-c79e471bf0f8,2fe838bc-8222-4a17-8801-7c6ea0e1f187
43,burnpro3d/d/7b/10/run_7b10f497-eb50-4e5e-9554-e41fd4849bba,2023-06-23T14:29:36.215093-07:00,2023-06-23T14:42:48.919464-07:00,5223,600,60.0,2.235,0.9,0.1,452028,1,294840.0,792.0,0.0,0.0,62bcbf27-b0a5-4201-ba7a-c79e471bf0f8,7b10f497-eb50-4e5e-9554-e41fd4849bba
44,burnpro3d/d/04/fa/run_04fa7ab2-00a5-4f77-bb6b-80d7377d6108,2023-06-23T14:31:36.015078-07:00,2023-06-23T14:42:32.403634-07:00,5223,600,60.0,4.47,0.9,0.1,452028,1,294840.0,656.0,0.0,0.0,62bcbf27-b0a5-4201-ba7a-c79e471bf0f8,04fa7ab2-00a5-4f77-bb6b-80d7377d6108
45,burnpro3d/d/c8/66/run_c86625fe-5328-41c1-b125-9661bd7b1581,2023-06-23T14:36:13.638130-07:00,2023-06-23T14:44:57.607037-07:00,5223,600,120.0,2.235,0.9,0.15,452120,1,294840.0,524.0,0.0,0.0,62bcbf27-b0a5-4201-ba7a-c79e471bf0f8,c86625fe-5328-41c1-b125-9661bd7b1581
46,burnpro3d/d/5c/4b/run_5c4b7a33-3496-4af3-a648-76e1453324d3,2023-06-23T14:35:12.431517-07:00,2023-06-23T14:46:39.190112-07:00,5223,600,60.0,6.705,0.9,0.2,451956,1,294840.0,687.0,0.0,0.0,62bcbf27-b0a5-4201-ba7a-c79e471bf0f8,5c4b7a33-3496-4af3-a648-76e1453324d3
47,burnpro3d/d/71/e7/run_71e79259-8e1c-42cd-8bff-247ca5927817,2023-06-23T14:34:55.238061-07:00,2023-06-23T14:47:05.218326-07:00,5223,600,60.0,6.705,0.9,0.15,451948,1,294840.0,730.0,0.0,0.0,62bcbf27-b0a5-4201-ba7a-c79e471bf0f8,71e79259-8e1c-42cd-8bff-247ca5927817
48,burnpro3d/d/1c/1e/run_1c1e7d79-1419-4a3f-9bd4-d4babf661644,2023-06-23T14:38:36.249560-07:00,2023-06-23T14:46:40.877097-07:00,5223,600,90.0,2.235,0.9,0.1,452040,1,294840.0,484.0,0.0,0.0,62bcbf27-b0a5-4201-ba7a-c79e471bf0f8,1c1e7d79-1419-4a3f-9bd4-d4babf661644
49,burnpro3d/d/43/bb/run_43bbfb2b-26ee-48a5-931b-dad6672e2d98,2023-06-23T14:35:50.891410-07:00,2023-06-23T14:47:56.167475-07:00,5223,600,120.0,2.235,0.9,0.1,452048,1,294840.0,726.0,0.0,0.0,62bcbf27-b0a5-4201-ba7a-c79e471bf0f8,43bbfb2b-26ee-48a5-931b-dad6672e2d98
50,burnpro3d/d/ce/a2/run_cea2cbb5-0613-43cc-87df-7f0de25f88e6,2023-06-23T14:37:25.995014-07:00,2023-06-23T14:47:31.114519-07:00,5223,600,120.0,4.47,0.9,0.1,452188,1,294840.0,606.0,0.0,0.0,62bcbf27-b0a5-4201-ba7a-c79e471bf0f8,cea2cbb5-0613-43cc-87df-7f0de25f88e6
51,burnpro3d/d/44/c7/run_44c7fa5f-0981-4c4d-9257-79eae0640d56,2023-06-23T14:37:47.290206-07:00,2023-06-23T14:49:53.255918-07:00,5223,600,120.0,6.705,0.9,0.1,451928,1,294840.0,726.0,0.0,0.0,62bcbf27-b0a5-4201-ba7a-c79e471bf0f8,44c7fa5f-0981-4c4d-9257-79eae0640d56
52,burnpro3d/d/6a/f0/run_6af00ebe-2c44-405c-891f-224cc2297f11,2023-06-23T14:38:08.035083-07:00,2023-06-23T14:50:19.398028-07:00,5223,600,120.0,6.705,0.9,0.15,452048,1,294840.0,731.0,0.0,0.0,62bcbf27-b0a5-4201-ba7a-c79e471bf0f8,6af00ebe-2c44-405c-891f-224cc2297f11
53,burnpro3d/d/3c/2a/run_3c2a2467-c6a9-4577-a56f-a93974b0ca8b,2023-06-23T14:32:15.195537-07:00,2023-06-23T14:50:32.958226-07:00,5223,600,60.0,4.47,0.9,0.15,451892,1,294840.0,1097.0,0.0,0.0,62bcbf27-b0a5-4201-ba7a-c79e471bf0f8,3c2a2467-c6a9-4577-a56f-a93974b0ca8b
54,burnpro3d/d/4c/94/run_4c9440c5-c111-48d5-ad26-e9e5d05263e7,2023-06-23T14:37:45.929589-07:00,2023-06-23T14:50:58.870420-07:00,5223,600,120.0,4.47,0.9,0.2,452096,1,294840.0,793.0,0.0,0.0,62bcbf27-b0a5-4201-ba7a-c79e471bf0f8,4c9440c5-c111-48d5-ad26-e9e5d05263e7
55,burnpro3d/d/e7/87/run_e787baa3-25a4-44e3-a041-eb2b65bc68b4,2023-06-23T14:38:12.585101-07:00,2023-06-23T14:50:44.840385-07:00,5223,600,120.0,6.705,0.9,0.2,451880,1,294840.0,752.0,0.0,0.0,62bcbf27-b0a5-4201-ba7a-c79e471bf0f8,e787baa3-25a4-44e3-a041-eb2b65bc68b4
56,burnpro3d/d/5f/64/run_5f640034-d6f9-48b6-9370-dbf356bf5120,2023-06-23T14:37:37.302086-07:00,2023-06-23T14:52:12.589936-07:00,5223,600,120.0,4.47,0.9,0.15,451952,1,294840.0,875.0,0.0,0.0,62bcbf27-b0a5-4201-ba7a-c79e471bf0f8,5f640034-d6f9-48b6-9370-dbf356bf5120
57,burnpro3d/d/04/f1/run_04f14e20-0d0f-4276-ad60-d70b51a813e4,2023-06-23T15:29:57.852018-07:00,2023-06-23T18:13:00.309110-07:00,27251,600,120.0,4.47,1.0,0.2,3919392,1,648024.0,9783.0,0.0,0.0,4c31a770-b51a-47a0-9347-a2482e49c96e,04f14e20-0d0f-4276-ad60-d70b51a813e4
58,burnpro3d/d/ce/0f/run_ce0fd90a-095a-4519-8ad3-54eb6baeb06d,2023-06-23T15:34:22.437944-07:00,2023-06-23T20:30:37.532780-07:00,27251,600,120.0,6.705,1.0,0.25,3920668,1,648024.0,17775.0,0.0,0.0,4c31a770-b51a-47a0-9347-a2482e49c96e,ce0fd90a-095a-4519-8ad3-54eb6baeb06d
59,burnpro3d/d/3a/01/run_3a01a7c2-6913-4dfb-971f-94dd094f077d,2023-06-23T14:52:37.729014-07:00,2023-06-23T18:33:17.736752-07:00,27251,600,90.0,6.705,0.9,0.1,3919932,1,648024.0,13240.0,0.0,0.0,4c31a770-b51a-47a0-9347-a2482e49c96e,3a01a7c2-6913-4dfb-971f-94dd094f077d
60,burnpro3d/d/f9/5b/run_f95b175f-73d2-4af2-89dc-852bd178e8ab,2023-06-23T15:11:48.920255-07:00,2023-06-23T18:51:17.214454-07:00,27251,600,60.0,4.47,1.0,0.15,3920916,1,648024.0,13169.0,0.0,0.0,4c31a770-b51a-47a0-9347-a2482e49c96e,f95b175f-73d2-4af2-89dc-852bd178e8ab
61,burnpro3d/d/51/39/run_51394d1e-47e6-41ad-aeb0-4e16958fe188,2023-06-23T14:40:33.417471-07:00,2023-06-23T18:04:04.336309-07:00,27251,600,60.0,6.705,1.0,0.1,3920600,1,648024.0,12211.0,0.0,0.0,4c31a770-b51a-47a0-9347-a2482e49c96e,51394d1e-47e6-41ad-aeb0-4e16958fe188
62,burnpro3d/d/e2/72/run_e2724f1d-899b-4ae8-94dc-6d00a42c3701,2023-06-23T15:09:04.896511-07:00,2023-06-23T18:35:49.276827-07:00,27251,600,60.0,4.47,0.9,0.1,3920560,1,648024.0,12405.0,0.0,0.0,4c31a770-b51a-47a0-9347-a2482e49c96e,e2724f1d-899b-4ae8-94dc-6d00a42c3701
