,canopy_moisture,run_max_mem_rss_bytes,sim_time,surface_moisture,threads,wind_direction,wind_speed,run_uuid,area,runtime,queue_seconds,cpu_usage_total,mem_usage_total,transmitted_packets_total,received_packets_total,transmitted_bandwidth_total,received_bandwidth_total
214,0.5,3441124,15022,0.1,1,90.0,3.0,8e94c46c-27d4-40e2-a21e-fc21f4e8db6e,1369900.0,19102.0,6.0,67352.76867171738,14692208639.0,15084.649935684693,31439.536402355698,2145051.40082265,298781564.4301696
215,0.5,3444640,15022,0.3,1,90.0,5.0,ea2425aa-e901-41cf-926e-f9a68f066d17,1369900.0,14510.0,28.0,57954.8118955447,14712606719.0,16664.847028838176,36527.85275082988,2207393.519028216,362635365.4271093
216,0.5,3444644,15022,0.3,1,90.0,3.0,3c95cb30-883a-4b1d-b81d-4253c7fc22ce,1369900.0,14659.0,28.0,58363.314097908216,14712664063.0,16760.05015700979,36635.17813333205,2219839.885176347,363140280.5784735
217,0.3,3450448,15022,0.1,1,90.0,5.0,9f0ec3bf-8ec1-4af7-8775-41edeac88ebe,1369900.0,16594.0,55.0,49824.27253676062,11059150847.0,17695.867296520515,51913.80338246368,2218431.402048772,239690194.2474429
218,0.3,3450548,15022,0.1,1,90.0,3.0,a478bace-2fb4-4228-93f4-99313c9d2c5f,1369900.0,18928.0,52.0,54389.845675672914,11064057855.0,22357.76443782576,62626.09602613676,3033173.8165420154,474527800.5028578
219,0.3,3442064,15022,0.3,1,90.0,5.0,40b2c41a-927f-4af4-abaa-cec2657be9c3,1369900.0,12292.0,30.0,36800.97750412101,11029884927.0,19375.06373529412,33422.70402312091,2387417.786062581,335064588.3239207
220,0.3,3441932,15022,0.3,1,90.0,3.0,697cb8e5-b20e-4f30-8717-1943eb0abd25,1369900.0,14591.0,27.0,41465.22816134339,11030233087.0,22015.66511134348,36711.57154260902,39810033.99712303,336417928.08807456
221,0.5,3450388,15022,0.1,1,90.0,5.0,66cb70fd-b876-4b3b-963c-f22277609991,1369900.0,16413.0,52.0,49125.79400646953,11059134463.0,25286.026857859328,60029.76520954129,3155527.835858777,474351337.0032889
222,0.5,3450332,15022,0.1,1,90.0,3.0,1ed6147b-9a79-4e0f-8a80-5e9f9c5731dc,1369900.0,19196.0,49.0,54759.011590957474,11059687423.0,26047.51728523857,60839.63870000944,3256412.640592574,474673816.6710909
223,0.5,3443708,15022,0.3,1,90.0,3.0,2a4ebc86-e74c-479d-96b0-bfbb66863aac,1369900.0,10468.0,32.0,31325.30565848628,11041554431.0,30237.47355316285,69620.4007692537,3358718.8803458726,474399523.274473
224,0.5,3443908,15022,0.3,1,90.0,5.0,cb275415-745a-411a-b0fd-16f6f2c6af4d,1369900.0,15383.0,18.0,36333.52820465854,11042111487.0,31919.44813940492,70930.68299997944,3570304.314413561,474679875.0522424
225,0.3,3444488,15022,0.1,1,90.0,3.0,a874609f-1243-4112-9474-c74573d68dbb,1369900.0,11532.0,36.0,45407.41665742098,14716035071.0,20668.49438882136,39563.82577378643,2903688.3132206183,474215086.1318365
226,0.3,3444448,15022,0.1,1,90.0,5.0,6838b88b-0f9b-4fb8-b03b-c370d5cf503e,1369900.0,11206.0,36.0,44678.62192622029,14715903999.0,20526.65442839174,39443.36758292902,2884900.238266846,474550258.9762135
227,0.3,3446960,15022,0.3,1,90.0,5.0,b61c4f58-2190-4df8-a7bc-9aa4b72ac526,1369900.0,13382.0,57.0,53557.269189508406,14720741375.0,10546.22127340824,10958.206441947565,1363982.655730337,11463707.844344568
228,0.3,3446664,15022,0.3,1,90.0,3.0,878db29d-3c1b-404f-b4ae-3c4578f10ea1,1369900.0,14653.0,56.0,56096.05141876167,14720860159.0,11021.482233652492,11436.846384036176,1425605.5076304504,11632396.30669566
229,0.5,3448516,15022,0.1,1,90.0,5.0,5027be94-a24f-421b-acce-12aaa37530a9,1369900.0,13345.0,25.0,39970.62999453496,11053543423.0,22024.0426465235,38823.21301271837,2675594.963841156,472981956.7145169
230,0.5,3448352,15022,0.1,1,90.0,3.0,dcbeff7c-2e28-4541-befd-e1216d0e0a26,1369900.0,15708.0,22.0,44768.61486875394,11053551615.0,26424.868284926888,44104.60747389471,101463204.24544676,474789323.8487397
231,0.5,3446760,15022,0.3,1,90.0,5.0,703061d4-fcc0-40f8-9209-76643514dcbb,1369900.0,15359.0,45.0,45985.27784540773,11047751679.0,20921.096209346404,56329.710167843135,2493040.695413594,454547424.489822
232,0.5,3446832,15022,0.3,1,90.0,3.0,1a5d41d3-ee37-4e21-8a28-ef1f6ee2b426,1369900.0,17550.0,42.0,50433.566853878496,11047845887.0,21553.429505998072,57011.80301393117,2576732.2180609186,454986492.6204743
233,0.3,3434904,15022,0.1,1,90.0,5.0,8f0697a8-97c9-4919-8372-154c65658ebf,1369900.0,18589.0,22.0,67685.896228594,14679302143.0,17484.58600334752,39127.98910460464,2730192.0877219057,471612057.964939
234,0.3,3435032,15022,0.1,1,90.0,3.0,f3f3271a-e284-4505-bab8-c3112311b73a,1369900.0,15228.0,21.0,60854.9657630415,14679203839.0,16623.753754038713,38218.75118648695,2615653.7970561264,471552380.3469018
235,0.5,3442256,15022,0.1,1,90.0,5.0,f5893c49-83d3-41ce-89f0-ee9bf4c4de1c,1369900.0,11173.0,10.0,33486.08778507892,11032371199.0,64054.93963961322,80313.76636262306,6351029.843085162,824743577.8209536
236,0.5,3442168,15022,0.1,1,90.0,3.0,6cc742f0-287c-4bad-bc34-43d08c79ad35,1369900.0,11696.0,13.0,34040.21852711025,11032412159.0,64317.00284292714,80515.20503461822,6383008.714797059,824877740.6578434
237,0.5,3444332,15022,0.3,1,90.0,3.0,67a516df-1bdd-4d90-825a-72e94bb10186,1369900.0,12645.0,35.0,37854.27805349174,11036360703.0,16275.20351775486,26494.387118740768,2083430.284533304,237586351.0834988
238,0.5,3444520,15022,0.3,1,90.0,5.0,c8ae5409-2207-45df-be4a-dae7d5c13c92,1369900.0,17255.0,32.0,47140.30795871889,11036999679.0,19036.913446496223,29695.77782614989,28499440.82296806,239074987.78271583
239,0.3,11152376,18801,0.1,1,90.0,5.0,ec19b88f-bacb-4712-b9b8-b9c51e24e573,1854216.0,36652.0,56.0,109968.04961333783,34935214079.0,38849.31951951952,153494.07835369918,3793978.298498498,1286651585.676288
240,0.3,11150260,18801,0.1,1,90.0,3.0,3cf2bb82-1e67-475f-b348-08e586eba8b3,1854216.0,43913.0,53.0,124412.51379214466,34935660543.0,48389.341252300525,165971.99307805783,418236945.7057003,1288357783.421026
241,0.3,11134876,18801,0.3,1,90.0,3.0,10c8a64c-8d14-46cb-abb6-24f579980adf,1854216.0,44490.0,24.0,177908.53951817262,46515224575.0,30006.867383282257,74003.83940102762,3510188.7382689747,1307303471.4077086
242,0.3,11134940,18801,0.3,1,90.0,5.0,67784aac-d4e7-4511-be12-1980febdeb57,1854216.0,49458.0,25.0,187973.1965022421,46515482623.0,37943.33981235835,80034.98536330611,232316622.3032659,1308706266.6221466
243,0.5,11120192,18801,0.1,1,90.0,3.0,9731c89a-f74f-497d-9ae5-e90c1ce7b197,1854216.0,34627.0,36.0,103754.6038234472,34845007871.0,40446.594254282405,96649.21272416088,4163321.312361863,1307125231.3863935
244,0.5,11120848,18801,0.1,1,90.0,5.0,a64b0d24-bbcf-4265-9846-d4a36cc6ebc3,1854216.0,36978.0,40.0,106265.00174256944,34845401087.0,53439.94197035176,105227.48261176464,418251649.4960425,1307935981.2334802
245,0.5,11071168,18801,0.3,1,90.0,5.0,2b5dc4f2-5d4c-4489-bee5-371866db7954,1854216.0,37122.0,53.0,74110.58984206046,23130787839.0,58476.02540423751,170681.8107307962,5285143.517248232,1310140310.205104
246,0.5,11070692,18801,0.3,1,90.0,3.0,a388b602-039c-43c8-a867-bbfc42a23a1f,1854216.0,37517.0,54.0,74592.63705913429,23130787839.0,71280.38640180705,187899.6278687765,416405674.1821233,1312471694.2784655
