,runtime,sim_time,surface_moisture,timestep,wind_direction,wind_speed,canopy_moisture,run_max_mem_rss_bytes,area,steps_fire
302,13785,11382,0.05,600,60.0,4.47,1.0,2468960,1981888.0,600
303,3524,5918,0.25,600,90.0,2.235,1.0,2461920,646416.0,600
304,2670,5918,0.25,600,120.0,2.235,0.9,2461740,646416.0,600
305,1292,5460,0.15,600,120.0,4.47,0.9,1337376,646416.0,600
306,2595,4225,0.1,600,120.0,5.0,0.5,2659688,820864.0,600
307,12046,14997,0.08,600,30.0,5.364,1.0,3919744,648024.0,600
308,3015,5918,0.2,600,60.0,4.47,1.0,2462088,646416.0,600
309,2720,4225,0.1,600,60.0,10.0,0.3,2659644,820864.0,600
310,2675,9396,0.15,600,90.0,6.705,1.0,2456584,646416.0,600
311,616,5223,0.15,600,60.0,2.235,0.9,451892,294840.0,600
312,2439,6748,0.1,600,120.0,2.235,0.9,1339196,646416.0,600
313,3369,5918,0.1,600,120.0,2.235,0.9,2449628,646416.0,600
314,2082,4556,0.12,600,106.0,2.0,1.0,1380016,727380.0,600
315,1544,4225,0.3,600,180.0,5.0,0.3,2659092,820864.0,600
316,8060,10666,0.15,600,60.0,4.47,0.9,2469632,1981888.0,600
317,4082,5945,0.25,600,90.0,2.235,1.0,1337008,646416.0,600
318,8533,6906,0.15,600,270.0,4.47,1.1,2565376,820080.0,600
319,1303,11719,0.1,600,90.0,4.47,1.0,451612,294840.0,600
320,11079,11359,0.05,600,180.0,4.023,1.0,2468964,1981888.0,600
321,14295,8543,0.11,600,225.0,6.705,0.9,4233340,648024.0,600
322,13974,6906,0.1,600,300.0,2.235,1.1,2565412,820080.0,600
323,2452,4671,0.25,600,270.0,3.0,0.9,3917444,648024.0,600
324,11494,11382,0.12,600,210.0,2.682,0.9,2471304,1981888.0,600
325,1524,4225,0.2,600,180.0,15.0,0.3,2659364,820864.0,600
326,997,3699,0.1,600,100.0,3.0,0.3,1351572,404480.0,600
327,2243,4225,0.3,600,90.0,5.0,0.3,2658708,820864.0,600
328,7621,14997,0.08,600,330.0,4.47,1.1,3919660,648024.0,600
329,755,4228,0.09,600,240.0,6.705,1.0,516484,359488.0,600
330,609,4005,0.1,600,120.0,4.47,0.0,451936,294840.0,600
331,2203,19838,0.25,600,120.0,6.705,1.0,452368,294840.0,600
332,2742,19838,0.15,600,90.0,6.705,1.0,452196,294840.0,600
333,554,4005,0.1,600,90.0,2.235,0.9,452580,294840.0,600
334,12401,11382,0.05,600,150.0,1.788,0.9,2469184,1981888.0,600
335,2205,4225,0.2,600,180.0,10.0,0.3,2659156,820864.0,600
336,1710,5945,0.1,600,90.0,6.705,0.9,1337024,646416.0,600
337,18760,6910,0.15,600,150.0,2.235,0.9,4672804,908352.0,600
338,11440,16374,0.05,600,270.0,6.705,1.0,2427584,1981888.0,600
339,2689,4225,0.3,600,60.0,10.0,0.5,2659264,820864.0,600
340,8922,4225,0.2,600,180.0,5.0,0.4,2658396,820864.0,600
341,4222,4225,0.1,600,120.0,5.0,0.3,2659616,820864.0,600
342,9920,10603,0.05,600,210.0,2.682,0.9,2470084,1981888.0,600
343,116,100,0.12,10,0.0,5.0,1.0,3498292,795096.0,10
344,1417,11719,0.1,600,60.0,4.47,1.0,451656,294840.0,600
345,8537,13493,0.2,600,120.0,6.705,0.9,2428016,1981888.0,600
346,11178,6910,0.2,600,180.0,4.47,0.9,4672788,908352.0,600
347,13991,11359,0.1,600,210.0,4.023,0.8,2468668,1981888.0,600
348,7998,7313,0.2,600,270.0,4.47,1.1,2551824,820080.0,600
349,1982,3831,0.1,600,0.0,4.47,0.9,1264588,720564.0,600
350,2669,6748,0.15,600,90.0,2.235,0.9,1336564,646416.0,600
351,2785,5983,0.2,600,180.0,4.47,0.9,2275420,648024.0,600
352,13711,10603,0.12,600,210.0,2.682,0.9,2469568,1981888.0,600
353,38,120,0.1,30,100.0,3.0,0.3,419284,360000.0,30
354,38222,22227,0.08,600,0.0,2.0,1.0,8292568,2543220.0,600
355,3137,9396,0.15,600,90.0,2.235,1.0,2456576,646416.0,600
356,13397,14997,0.1,600,30.0,4.47,1.0,3919744,648024.0,600
357,3808,9810,0.1,600,60.0,2.235,0.9,2289736,820080.0,600
358,10281,14997,0.1,600,330.0,6.705,1.0,3919408,648024.0,600
359,1148,5295,0.03,600,230.0,5.364,1.2,646904,538244.0,600
360,2101,5945,0.1,600,120.0,4.47,1.0,1337288,646416.0,600
361,2123,5918,0.15,600,120.0,4.47,1.0,2462264,646416.0,600
362,9290,14997,0.1,600,360.0,6.705,1.0,3919256,648024.0,600
363,451,4228,0.05,600,270.0,4.47,1.1,516624,359488.0,600
364,8948,6906,0.15,600,270.0,6.705,1.1,2565220,820080.0,600
365,3470,6430,0.12,600,225.0,2.0,1.0,3035428,983808.0,600
366,2086,5002,0.12,600,180.0,3.0,1.0,2452008,1053216.0,600
367,6615,4225,0.3,600,120.0,10.0,0.5,2658816,820864.0,600
368,12949,27251,0.25,600,60.0,6.705,1.0,3920588,648024.0,600
369,1988,5945,0.25,600,60.0,4.47,1.0,1336904,646416.0,600
370,3242,4671,0.25,600,270.0,3.0,0.9,1335652,646416.0,600
371,13291,10951,0.06,600,85.0,4.023,1.0,3897060,962800.0,600
372,11948,11359,0.07,600,210.0,2.235,0.8,2468824,1981888.0,600
373,2700,19838,0.25,600,90.0,6.705,1.0,452104,294840.0,600
374,7940,14997,0.08,600,30.0,4.47,1.1,3919396,648024.0,600
375,2447,5460,0.15,600,120.0,2.235,0.9,1344172,646416.0,600
376,4183,4225,0.2,600,180.0,10.0,0.3,2659160,820864.0,600
