,canopy_moisture,run_max_mem_rss_bytes,sim_time,surface_moisture,threads,wind_direction,wind_speed,run_uuid,area,runtime,cpu_usage_total,mem_usage_total,transmitted_packets_total,received_packets_total,transmitted_bandwidth_total,received_bandwidth_total,queue_seconds
69,0.5,2530076.0,16486,0.1,1,90.0,3.0,acb0e9e0-2d61-480c-9cde-d2a81b40e8c1,1053216.0,10459.0,20561.402363521564,9009364991.0,31482.81756973684,59904.05358245614,91964756.90714824,324841180.6136298,11.0
70,0.5,2540616.0,16486,0.3,1,90.0,3.0,4b1aa391-dce0-4370-9cca-70c048f1ec12,1053216.0,7981.0,17528.18751996143,12116353023.0,26734.46668620689,65136.48928390804,73579706.52399999,326166677.91457474,12.0
71,0.5,2540636.0,16486,0.3,1,90.0,5.0,365f28f2-d896-469a-98b9-fc4466abe1c1,1053216.0,7957.0,17430.73879430363,12116353023.0,26586.553353793097,64789.206917241376,73174296.85696,324357747.208,12.0
72,0.3,2516624.0,16486,0.1,1,90.0,3.0,94faf9a7-f131-4c9e-8cd2-78b479f60af9,1053216.0,9778.0,18547.502992022924,8987336703.0,26435.03309572294,55711.74195256496,84678910.4392766,311687397.2514559,18.0
73,0.3,2516860.0,16486,0.1,1,90.0,5.0,d8ae8a0c-d173-4aa5-8046-e76d9e113907,1053216.0,10032.0,19309.79249135189,8987336703.0,27170.662736635808,56450.23709636773,89368715.63888471,311947498.6563725,22.0
74,0.3,2538700.0,16486,0.3,1,90.0,5.0,288e6c15-fecd-4411-9867-7729f4a261b9,1053216.0,8230.0,9249.950294680202,6076248063.0,23563.14364030501,40456.48463943356,68602198.421661,311085773.69235814,29.0
75,0.3,2538572.0,16486,0.3,1,90.0,3.0,1c81f84f-463a-409f-aa4d-a4c07a82e500,1053216.0,10672.0,14149.848255935256,6076248063.0,31393.23751148936,49387.982588936175,98606455.75420596,311006008.4586837,29.0
76,0.5,2531576.0,16486,0.1,1,90.0,3.0,6bc34e58-f6f1-484a-b181-e51a1bf8cbca,1053216.0,11935.0,16823.479881072675,5858779135.0,23922.74789929078,44254.430117730495,91381815.59915462,324010655.2966765,179.0
77,0.5,2532096.0,16486,0.1,1,90.0,5.0,dc3bea1b-4fba-4b39-8275-2ff492ac1edf,1053216.0,13219.0,19117.54519955925,5858779135.0,25996.477686666665,46257.748279375,101229972.83640487,324487813.4074617,35.0
78,0.5,2536956.0,16486,0.3,1,90.0,3.0,62914266-3f5c-474e-b00b-be01d582fcbc,1053216.0,6989.0,6756.108826141986,6158360575.0,27026.09532797619,60402.490975892855,61896519.39048393,311892752.5339935,40.0
79,0.5,2536948.0,16486,0.3,1,90.0,5.0,8b209ae5-d6a4-4bcf-b98e-f669e39bcc5b,1053216.0,9040.0,10864.443732196229,6226800639.0,34138.2823199468,68908.76638229589,91753220.86456536,312404272.8537147,39.0
80,0.3,2558568.0,16486,0.1,1,90.0,5.0,8fd491b9-4330-4e56-a3df-7223b716477c,1053216.0,8491.0,19600.373163921275,11935793151.0,24696.22264601228,61246.84847668711,75363217.42004295,312382767.6762636,68.0
81,0.3,2558712.0,16486,0.1,1,90.0,3.0,f0cf5872-7d4d-4d58-ba50-18231df2eb20,1053216.0,9942.0,25420.970749339016,11935793151.0,27316.95283379684,63845.12814897613,94656934.00866504,312760481.5237165,69.0
82,0.3,2582740.0,16486,0.3,1,90.0,5.0,6a4fbf8f-3a56-487a-bcd5-80a169848262,1053216.0,7214.0,14460.994393849338,12654817279.0,33147.12900399639,64803.15828957636,69410790.62133636,326247614.22653687,57.0
83,0.3,2582672.0,16486,0.3,1,90.0,3.0,3cae291b-4468-44a9-964c-18c18b8b1188,1053216.0,7327.0,14923.285096115464,12654817279.0,33385.017938724144,64985.97145992321,71549286.31658763,325569369.52221143,56.0
84,0.5,2541196.0,16486,0.1,1,90.0,3.0,053882bb-9858-49ae-8e86-c73506aaccb1,1053216.0,8250.0,18600.766786465123,11995574271.0,13255.731205627704,20342.702072510823,74193610.31572317,57946013.09361017,64.0
